subject,grade,strand,topic,skill,questionCount,sampleQuestionIds,proposedCodes,codeLabels,confidence,rationale,status
numeracy,3,Chance & Data,Reading a table with two conditions,Choosing an item that meets a condition then comparing price,1,icas-y3-numeracy-dc-014,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement,Area,Area,17,"gen-num-geo-00312, gen-num-geo-00316",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement,Measurement,num.prod.measurement.perimeter,7,"man-1e23ff761f58cad2a3b9ecee, man-2cd75d1a5850e5c72d31cebf",VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement,Money,Money,29,"gen-num-money-00008, gen-num-money-00016",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement,Perimeter,Perimeter,14,"gen-num-geo-00314, gen-num-geo-00318",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement and geometry,2D shapes,Compare the number of corners of 2D shapes,1,naplan-y3-numeracy-e2-016,VC2M3M05,Angles as measures of turn and right-angle benchmarks,high,Aligns with angles as measures of turn and right-angle benchmarks (VC2M3M05).,mapped
numeracy,3,Measurement and geometry,2D shapes,Name a 2D shape from its number of sides and corners,1,naplan-y3-numeracy-e2-006,VC2M3M05,Angles as measures of turn and right-angle benchmarks,high,Aligns with angles as measures of turn and right-angle benchmarks (VC2M3M05).,mapped
numeracy,3,Measurement and geometry,3D objects,Name a 3D object from its faces,1,naplan-y3-numeracy-db-013,VC2M3SP01,Classifying and comparing three-dimensional objects by geometric features,high,Aligns with classifying and comparing 3D objects by geometric features (VC2M3SP01).,mapped
numeracy,3,Measurement and geometry,Capacity,Compare capacity using standard units and division,1,naplan-y3-numeracy-e2-009,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Measurement and geometry,Capacity,Read a bar graph to find the greatest capacity,1,naplan-y3-numeracy-db-011,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Coordinates,Locating points on a grid,1,g3-nap-num-space-001,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,high,Aligns with two-dimensional mapping and relative spatial positioning (VC2M3SP02).,mapped
numeracy,3,Measurement and geometry,Length units,Convert metres to centimetres,1,naplan-y3-numeracy-db-009,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement and geometry,Mass,Compare masses in a table and find the difference,1,naplan-y3-numeracy-db-010,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Mass,Compare masses in a table by finding the difference,1,naplan-y3-numeracy-dc-013,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Mass,Estimate mass using sensible standard units,1,naplan-y3-numeracy-e2-008,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Money,Work out change from a whole dollar amount,1,naplan-y3-numeracy-dc-011,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement and geometry,Perimeter,Calculating the perimeter of a square,1,g3-nap-num-geo-001,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measurement and geometry,Perimeter,Find the perimeter of a rectangle from its length and width,1,naplan-y3-numeracy-db-015,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Properties of shapes,Identifying a square by its properties,1,g3-nap-num-geo-003,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measurement and geometry,Telling time,Read an analog clock to the nearest 5 minutes,2,"naplan-y3-numeracy-e1-006, naplan-y3-numeracy-e1-015",VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Measurement and geometry,Time,Match half past a time to its digital form,1,naplan-y3-numeracy-dc-014,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Measurement and geometry,Time intervals,Work out an elapsed time from a timetable,1,naplan-y3-numeracy-db-012,VC2M3M03,Formal time units and comparing event durations,high,Aligns with formal time units and comparing event durations (VC2M3M03).,mapped
numeracy,3,Measurement and geometry,Two-dimensional shapes,Name a 2D shape from its sides and corners,1,naplan-y3-numeracy-dc-015,VC2M3M05,Angles as measures of turn and right-angle benchmarks,high,Aligns with angles as measures of turn and right-angle benchmarks (VC2M3M05).,mapped
numeracy,3,Measures & Units,Calendar and days of the week,Adding one week to a day and date,1,icas-y3-numeracy-dc-009,VC2M3M03,Formal time units and comparing event durations,high,Aligns with formal time units and comparing event durations (VC2M3M03).,mapped
numeracy,3,Measures & Units,Calendars,Locating a named weekday and date on a calendar,1,icas-y3-num-measure-006,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Measures & Units,Capacity,Comparing capacities in millilitres and litres,1,icas-y3-num-measure-003,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measures & Units,Capacity and unit conversion,Dividing a capacity after converting litres to millilitres,1,icas-y3-numeracy-dc-008,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measures & Units,Choosing sensible units of length,Matching a length to an appropriate unit,1,icas-y3-numeracy-db-004,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measures & Units,Direction and turns,Working out a new direction after turns,1,icas-y3-numeracy-db-015,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Measures & Units,Elapsed time,Finding a finish time after a duration,1,icas-y3-numeracy-db-010,VC2M3M04,Analog and digital clock reading to the minute,high,Aligns with analog and digital clock reading to the minute (VC2M3M04).,mapped
numeracy,3,Measures & Units,Elapsed time,Finding elapsed time by counting on to the next hour,1,icas-y3-num-measure-005,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Measures & Units,Length,Measurement comparisons requiring unit conversion (m/cm),2,"icas-y3-numeracy-e2-011, icas-y3-numeracy-e2-013",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measures & Units,Length,Reading a scale and finding the difference between two points,1,icas-y3-num-measure-007,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Measures & Units,Mass,Measurement comparisons requiring unit conversion (kg/g),1,icas-y3-numeracy-e2-012,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measures & Units,Mass,Reading masses from a bar chart and combining them,1,icas-y3-num-measure-002,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Measures & Units,Perimeter,Calculating the perimeter of a rectangle,1,g3-icas-math-measure-001,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Measures & Units,Reading and reasoning about time,Using a constant time interval to find a later time,1,icas-y3-numeracy-db-006,VC2M3M04,Analog and digital clock reading to the minute,high,Aligns with analog and digital clock reading to the minute (VC2M3M04).,mapped
numeracy,3,Measures & Units,Time,Matching spoken time to digital time,1,icas-y3-num-measure-004,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Measures & Units,Time,Time intervals and elapsed time problems,3,"icas-y3-numeracy-e2-004, icas-y3-numeracy-e2-005",VC2M3M03,Formal time units and comparing event durations,high,Aligns with formal time units and comparing event durations (VC2M3M03).,mapped
numeracy,3,Measures & Units,Units of length,Choosing a sensible metric unit for a length,1,icas-y3-num-measure-001,VC2M3M01,Metric measurement unit selection and benchmark estimation,high,Aligns with metric measurement unit selection and benchmark estimation (VC2M3M01).,mapped
numeracy,3,Number,Number,num.addition.two-digit,8,"man-0b881b462abb76187e909853, man-24841396d80c3a132c330c02",VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number,Number,num.number.odd-even,5,"man-1073b6dfccd922bb3dff1d7e, man-30f6b506e9f643379eb704df",VC2M3N01,Properties and behaviour of odd and even numbers,high,Aligns with properties and behaviour of odd and even numbers (VC2M3N01).,mapped
numeracy,3,Number,Number,num.prod.number.money,7,"man-04393717e49e3e95c32be851, man-24becfb45b5fbd39377418a7",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number,Number,num.prod.number.multiplication-equal-groups,4,"man-10ff8545e5a15d34b712482d, man-476c821cb8acf444d18316c0",VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number,Number,num.prod.number.skip-counting,4,"man-07819aaa7685d3c6f300c5a9, man-112b9900758e0c3d19adfc39",VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number & Arithmetic,Adding amounts of money,Choosing items that total an exact amount of money,1,icas-y3-num-number-008,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number & Arithmetic,Addition with regrouping,Adding three-digit numbers with two regroupings,1,icas-y3-num-number-002,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number & Arithmetic,Division and sharing from a table,Reading a value from a table then dividing equally,1,icas-y3-numeracy-db-013,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number & Arithmetic,Division as equal sharing,Dividing a length into equal parts,1,icas-y3-numeracy-dc-003,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number & Arithmetic,Division facts in context,Using a division fact then subtracting in a two-step problem,1,icas-y3-num-number-004,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number & Arithmetic,Division with remainders,Sharing with a remainder and interpreting what is left,1,icas-y3-numeracy-c-002,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number & Arithmetic,Doubling and halving,Doubling and halving to solve problems,1,icas-y3-numeracy-c-001,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number & Arithmetic,Expanded form of a number,Matching expanded form to a standard number,1,icas-y3-numeracy-dc-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Fractions of a group,Finding a quarter of a group and the remaining part,1,icas-y3-num-number-005,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number & Arithmetic,Fractions of a set,Finding a fraction of a collection,1,g3-icas-math-frac-001,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number & Arithmetic,Midpoint on a number line,Finding the number halfway between two points,1,icas-y3-numeracy-dc-010,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number & Arithmetic,Money and financial mathematics,Reasoning with money and change across several purchases,3,"icas-y3-numeracy-e2-001, icas-y3-numeracy-e2-002",VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number & Arithmetic,Money and giving change,Finding change by subtracting in cents,1,icas-y3-numeracy-db-007,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number & Arithmetic,Money and two-step problems,Two-step word problems with money,1,icas-y3-numeracy-c-004,"VC2M3N07; VC2M3N08",Dollar and cent relationships and monetary representations | Mathematical modelling in practical additive and financial contexts,high,Aligns with Australian currency representations (VC2M3N07) and practical financial modelling (VC2M3N08).,mapped
numeracy,3,Number & Arithmetic,Multiples,Identifying multiples of 4,1,g3-icas-math-number-001,VC2M3A03,"Multiplication and related division facts for 3, 4, 5 and 10",high,"Aligns with multiplication and related division facts for 3, 4, 5 and 10 (VC2M3A03).",mapped
numeracy,3,Number & Arithmetic,Multiplication and comparison,Combine multiplying and comparing quantities,1,icas-y3-numeracy-e1-015,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number & Arithmetic,Multiplication and subtraction,Multi-step word problem with two operations,3,"icas-y3-numeracy-e1-001, icas-y3-numeracy-e1-002",VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number & Arithmetic,Multiplication facts in context,Comparing two multiplication totals to judge a claim,1,icas-y3-num-number-012,VC2M3A03,"Multiplication and related division facts for 3, 4, 5 and 10",high,"Aligns with multiplication and related division facts for 3, 4, 5 and 10 (VC2M3A03).",mapped
numeracy,3,Number & Arithmetic,Number lines,Read values on a number line and find a difference,1,icas-y3-numeracy-e1-012,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number & Arithmetic,Number lines,Reading positions and steps on a number line,1,icas-y3-numeracy-c-008,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering numbers on number lines (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Ordering digits by place value,Arranging digits to build the largest number,1,icas-y3-numeracy-db-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Ordering numbers,Ordering values from a table,1,g3-icas-math-logic-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Ordering numbers to 1000,"Ordering numbers written in words, digits and place-value form",1,icas-y3-num-number-010,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Place value,Ordering three-digit numbers,1,icas-y3-numeracy-c-003,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Place value to 1000,Building a three-digit number from place value clues,1,icas-y3-num-number-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Reading positions on a number line,Finding the distance between two points on a number line,1,icas-y3-numeracy-db-008,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering numbers on number lines (VC2M3N02).",mapped
numeracy,3,Number & Arithmetic,Rounding and estimation,Rounding a two-digit number to the nearest ten,1,icas-y3-numeracy-c-005,VC2M3N06,Estimation strategies and checking calculation reasonableness,high,Aligns with estimation strategies and checking calculation reasonableness (VC2M3N06).,mapped
numeracy,3,Number & Arithmetic,Rounding to the nearest ten,Rounding a two-digit number to the nearest ten,1,icas-y3-numeracy-dc-002,VC2M3N06,Estimation strategies and checking calculation reasonableness,high,Aligns with estimation strategies and checking calculation reasonableness (VC2M3N06).,mapped
numeracy,3,Number & Arithmetic,Skip counting on a number line,Counting on in equal steps from a marked point,1,icas-y3-numeracy-dc-004,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number & Arithmetic,Subtraction with regrouping,Comparing table data using subtraction across a zero,1,icas-y3-num-number-003,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Addition with regrouping,Add 3-digit numbers with regrouping,1,naplan-y3-numeracy-e1-001,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Addition with regrouping,Add 3-digit numbers with two regroupings,1,naplan-y3-numeracy-e1-012,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Addition with regrouping,Add two three-digit numbers involving regrouping,1,naplan-y3-numeracy-db-002,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Comparing and ordering numbers,Order three-digit numbers from smallest to largest,1,naplan-y3-numeracy-dc-002,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Comparing fractions,Compare the size of halves and quarters of one whole,1,naplan-y3-numeracy-e2-010,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Comparing fractions,Comparing fractions with one half,1,g3-nap-num-frac-003,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Comparing numbers,Compare 3-digit numbers using place value,1,naplan-y3-numeracy-e2-014,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Division,Share a quantity equally using a known times fact,1,naplan-y3-numeracy-dc-006,VC2M3A03,"Multiplication and related division facts for 3, 4, 5 and 10",high,"Aligns with multiplication and related division facts for 3, 4, 5 and 10 (VC2M3A03).",mapped
numeracy,3,Number and algebra,Division facts,Divide within 10x10 in a word problem,1,naplan-y3-numeracy-e1-005,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number and algebra,Division facts,Use a known multiplication fact to solve a division,1,naplan-y3-numeracy-db-005,VC2M3A03,"Multiplication and related division facts for 3, 4, 5 and 10",high,"Aligns with multiplication and related division facts for 3, 4, 5 and 10 (VC2M3A03).",mapped
numeracy,3,Number and algebra,Fractions,Describing a fraction model,1,g3-nap-num-frac-002,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Fractions,Naming fractions from a model,1,g3-nap-num-frac-001,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Fractions of a collection,Name the fraction of a group shown in a pie chart,1,naplan-y3-numeracy-db-006,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Fractions of a group,Find a fraction of a group then the remaining part,1,naplan-y3-numeracy-e2-015,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Fractions of a group,Find a unit fraction (one third) of a whole group,1,naplan-y3-numeracy-e2-003,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Fractions of a whole,Name the fraction shown by one equal part of a pie chart,1,naplan-y3-numeracy-dc-007,VC2M3N03,"Unit fractions, multiples and completing the whole",high,"Aligns with unit fractions, multiples and completing the whole (VC2M3N03).",mapped
numeracy,3,Number and algebra,Money,Add two amounts of money in cents,1,naplan-y3-numeracy-db-008,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number and algebra,Money,Adding money amounts,1,g3-nap-num-money-001,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number and algebra,Money and change,Calculate change from a purchase under $20,1,naplan-y3-numeracy-e1-008,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number and algebra,Money totals,Make and compare a money total under $20,1,naplan-y3-numeracy-e1-011,VC2M3N07,Dollar and cent relationships and monetary representations,high,Aligns with dollar and cent relationships and monetary representations (VC2M3N07).,mapped
numeracy,3,Number and algebra,Multiplication,Find a total from equal rows using multiplication,1,naplan-y3-numeracy-dc-005,VC2M3N05,Multiplication and division representations with arrays and number sentences,high,Aligns with multiplication and division representations with arrays and number sentences (VC2M3N05).,mapped
numeracy,3,Number and algebra,Multiplication facts,Multiply within 10x10 in a word problem,2,"naplan-y3-numeracy-e1-004, naplan-y3-numeracy-e1-013",VC2M3A03,"Multiplication and related division facts for 3, 4, 5 and 10",high,"Aligns with multiplication and related division facts for 3, 4, 5 and 10 (VC2M3A03).",mapped
numeracy,3,Number and algebra,Multiplication facts and two-step problems,Solve a two-step problem using a multiplication fact then subtraction,1,naplan-y3-numeracy-db-004,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Number line,Read values on a number line and find a difference,1,naplan-y3-numeracy-e2-004,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Number lines,Find the difference between points on a number line,1,naplan-y3-numeracy-e1-009,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Number patterns,Continue a doubling pattern,1,naplan-y3-numeracy-e1-016,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number and algebra,Number patterns,Continue a skip-counting pattern on a number line,1,naplan-y3-numeracy-dc-010,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number and algebra,Number patterns,Continue a skip-counting pattern shown on a number line,1,naplan-y3-numeracy-db-007,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number and algebra,Number patterns,Continue an increasing number pattern,1,naplan-y3-numeracy-e1-007,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
numeracy,3,Number and algebra,Odd and even numbers,Identifying even numbers,1,g3-nap-num-number-001,VC2M3N01,Properties and behaviour of odd and even numbers,high,Aligns with properties and behaviour of odd and even numbers (VC2M3N01).,mapped
numeracy,3,Number and algebra,Ordering numbers,Order 3-digit numbers from smallest to largest,1,naplan-y3-numeracy-e2-007,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Place value,Add 100 to a 3-digit number using place value,1,naplan-y3-numeracy-e2-011,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,high,Aligns with addition and subtraction with two- and three-digit numbers using place-value partitioning (VC2M3N04).,mapped
numeracy,3,Number and algebra,Place value,"Build a three-digit number from hundreds, tens and ones",1,naplan-y3-numeracy-dc-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Place value,Understand the value of a digit in a 3-digit number,1,naplan-y3-numeracy-e2-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Place value to 999,Identify the value of a digit in a three-digit number,1,naplan-y3-numeracy-db-001,VC2M3N02,"Reading, writing and ordering five-digit whole numbers",high,"Aligns with reading, writing and ordering five-digit whole numbers and place value (VC2M3N02).",mapped
numeracy,3,Number and algebra,Rounding,Reason backwards about rounding to the nearest 10,1,naplan-y3-numeracy-e2-012,VC2M3N06,Estimation strategies and checking calculation reasonableness,high,Aligns with estimation strategies and checking calculation reasonableness (VC2M3N06).,mapped
numeracy,3,Number and algebra,Rounding,Round a 2-digit number to the nearest 10,1,naplan-y3-numeracy-e2-002,VC2M3N06,Estimation strategies and checking calculation reasonableness,high,Aligns with estimation strategies and checking calculation reasonableness (VC2M3N06).,mapped
numeracy,3,Number and algebra,Skip counting,Reading a number line,1,g3-nap-num-number-002,VC2M3N09,Algorithms and decision sequences for investigating number patterns,high,Aligns with algorithms and decision sequences for investigating number patterns (VC2M3N09).,mapped
